k	datasize	space
8	0	0.0
8	1	0.0
8	2	0.0
8	3	0.0
8	4	0.0
8	5	0.0
8	6	0.0
8	7	0.0
8	8	0.0
8	9	0.0
8	10	0.0
8	11	0.0
8	12	0.0
8	13	0.0
8	14	0.0
8	15	0.0
8	16	0.0
8	17	0.0
8	18	0.0
8	19	0.0
8	20	0.0
8	21	0.0
8	22	0.0
8	23	0.0
8	24	0.0
8	25	0.0
8	26	0.0
8	27	0.0
8	28	0.0
8	29	0.0
8	30	0.0
8	31	0.0
8	32	0.0
8	33	0.0
8	34	0.0
8	35	0.0
8	36	0.0
8	37	0.0
8	38	0.0
8	39	0.0
8	40	0.0
8	41	0.0
8	42	0.0
8	43	0.0
8	44	0.0
8	45	0.0
8	46	0.0
8	47	0.0
8	48	0.0
8	49	0.0
8	50	0.0
8	51	0.0
8	52	0.0
8	53	0.0
8	54	0.0
8	55	0.0
8	56	0.0
8	57	0.0
8	58	0.0
8	59	0.0
8	60	0.0
8	61	0.0
8	62	0.0
8	63	0.0
8	64	0.0
8	65	0.0
8	66	0.0
8	67	0.0
8	68	0.0
8	69	0.0
8	70	0.0
8	71	0.0
8	72	0.0
8	73	0.0
8	74	0.0
8	75	0.0
8	76	0.0
8	77	0.0
8	78	0.0
8	79	0.0
8	80	0.0
8	81	0.0
8	82	0.0
8	83	0.0
8	84	0.0
8	85	0.0
8	86	0.0
8	87	0.0
8	88	0.0
8	89	0.0
8	90	0.0
8	91	0.0
8	92	0.0
8	93	0.0
8	94	0.0
8	95	0.0
8	96	0.0
8	97	0.0
8	98	0.0
8	99	0.0
10	0	0.0
10	1	0.0
10	2	0.0
10	3	0.0
10	4	0.0
10	5	0.0
10	6	0.0
10	7	0.0
10	8	0.0
10	9	0.0
10	10	0.0
10	11	0.0
10	12	0.0
10	13	0.0
10	14	0.0
10	15	0.0
10	16	0.0
10	17	0.0
10	18	0.0
10	19	0.0
10	20	0.0
10	21	0.0
10	22	0.0
10	23	0.0
10	24	0.0
10	25	0.0
10	26	0.0
10	27	0.0
10	28	0.0
10	29	0.0
10	30	0.0
10	31	0.0
10	32	0.0
10	33	0.0
10	34	0.0
10	35	0.0
10	36	0.0
10	37	0.0
10	38	0.0
10	39	0.0
10	40	0.0
10	41	0.0
10	42	0.0
10	43	0.0
10	44	0.0
10	45	0.0
10	46	0.0
10	47	0.0
10	48	0.0
10	49	0.0
10	50	0.0
10	51	0.0
10	52	0.0
10	53	0.0
10	54	0.0
10	55	0.0
10	56	0.0
10	57	0.0
10	58	0.0
10	59	0.0
10	60	0.0
10	61	0.0
10	62	0.0
10	63	0.0
10	64	0.0
10	65	0.0
10	66	0.0
10	67	0.0
10	68	0.0
10	69	0.0
10	70	0.0
10	71	0.0
10	72	0.0
10	73	0.0
10	74	0.0
10	75	0.0
10	76	0.0
10	77	0.0
10	78	0.0
10	79	0.0
10	80	0.0
10	81	0.0
10	82	0.0
10	83	0.0
10	84	0.0
10	85	0.0
10	86	0.0
10	87	0.0
10	88	0.0
10	89	0.0
10	90	0.0
10	91	0.0
10	92	0.0
10	93	0.0
10	94	0.0
10	95	0.0
10	96	0.0
10	97	0.0
10	98	0.0
10	99	0.0
12	0	4189.0
12	1	4189.0
12	2	4189.0
12	3	4189.0
12	4	4189.0
12	5	4189.0
12	6	4189.0
12	7	4189.0
12	8	4189.0
12	9	4189.0
12	10	4189.0
12	11	4189.0
12	12	4189.0
12	13	4189.0
12	14	4189.0
12	15	4189.0
12	16	4189.0
12	17	4189.0
12	18	4189.0
12	19	4189.0
12	20	4189.0
12	21	4189.0
12	22	4189.0
12	23	4189.0
12	24	4189.0
12	25	4189.0
12	26	4189.0
12	27	4189.0
12	28	4189.0
12	29	4189.0
12	30	4189.0
12	31	4189.0
12	32	4189.0
12	33	4189.0
12	34	4189.0
12	35	4189.0
12	36	4189.0
12	37	4189.0
12	38	4189.0
12	39	4189.0
12	40	4189.0
12	41	4189.0
12	42	4189.0
12	43	4189.0
12	44	4189.0
12	45	4189.0
12	46	4189.0
12	47	4189.0
12	48	4189.0
12	49	4189.0
12	50	4189.0
12	51	4189.0
12	52	4189.0
12	53	4189.0
12	54	4189.0
12	55	4189.0
12	56	4189.0
12	57	4189.0
12	58	4189.0
12	59	4189.0
12	60	4189.0
12	61	4189.0
12	62	4189.0
12	63	4189.0
12	64	4189.0
12	65	4189.0
12	66	4189.0
12	67	4189.0
12	68	4189.0
12	69	4189.0
12	70	4189.0
12	71	4189.0
12	72	4189.0
12	73	4189.0
12	74	4189.0
12	75	4189.0
12	76	4189.0
12	77	4189.0
12	78	4189.0
12	79	4189.0
12	80	4189.0
12	81	4189.0
12	82	4189.0
12	83	4189.0
12	84	4189.0
12	85	4189.0
12	86	4189.0
12	87	4189.0
12	88	4189.0
12	89	4189.0
12	90	4189.0
12	91	4189.0
12	92	4189.0
12	93	4189.0
12	94	4189.0
12	95	4189.0
12	96	4189.0
12	97	4189.0
12	98	4189.0
12	99	4189.0
14	0	16477.0
14	1	16477.0
14	2	16477.0
14	3	16477.0
14	4	16477.0
14	5	16477.0
14	6	16477.0
14	7	16477.0
14	8	16477.0
14	9	16477.0
14	10	16477.0
14	11	16477.0
14	12	16477.0
14	13	16477.0
14	14	16477.0
14	15	16477.0
14	16	16477.0
14	17	16477.0
14	18	16477.0
14	19	16477.0
14	20	16477.0
14	21	16477.0
14	22	16477.0
14	23	16477.0
14	24	16477.0
14	25	16477.0
14	26	16477.0
14	27	16477.0
14	28	16477.0
14	29	16477.0
14	30	16477.0
14	31	16477.0
14	32	16477.0
14	33	16477.0
14	34	16477.0
14	35	16477.0
14	36	16477.0
14	37	16477.0
14	38	16477.0
14	39	16477.0
14	40	16477.0
14	41	16477.0
14	42	16477.0
14	43	16477.0
14	44	16477.0
14	45	16477.0
14	46	16477.0
14	47	16477.0
14	48	16477.0
14	49	16477.0
14	50	16477.0
14	51	16477.0
14	52	16477.0
14	53	16477.0
14	54	16477.0
14	55	16477.0
14	56	16477.0
14	57	16477.0
14	58	16477.0
14	59	16477.0
14	60	16477.0
14	61	16477.0
14	62	16477.0
14	63	16477.0
14	64	16477.0
14	65	16477.0
14	66	16477.0
14	67	16477.0
14	68	16477.0
14	69	16477.0
14	70	16477.0
14	71	16477.0
14	72	16477.0
14	73	16477.0
14	74	16477.0
14	75	16477.0
14	76	16477.0
14	77	16477.0
14	78	16477.0
14	79	16477.0
14	80	16477.0
14	81	16477.0
14	82	16477.0
14	83	16477.0
14	84	16477.0
14	85	16477.0
14	86	16477.0
14	87	16477.0
14	88	16477.0
14	89	16477.0
14	90	16477.0
14	91	16477.0
14	92	16477.0
14	93	16477.0
14	94	16477.0
14	95	16477.0
14	96	16477.0
14	97	16477.0
14	98	16477.0
14	99	16477.0
