k	datasize	time
8	0	7.830414117551319e-07
8	1	7.316177966547948e-07
8	2	8.064157822552849e-07
8	3	9.373122570561425e-07
8	4	8.075845007802926e-07
8	5	8.379711824304918e-07
8	6	8.005721896302466e-07
8	7	8.064157822552849e-07
8	8	8.671891455556832e-07
8	9	8.870573604808134e-07
10	0	3.0526927873200063e-06
10	1	8.929009531058517e-07
10	2	7.526547301049328e-07
10	3	7.95897315530216e-07
10	4	9.069255754059439e-07
10	5	8.50827086205576e-07
10	6	4.3008841720281845e-06
10	7	8.426460565305223e-07
10	8	8.566706788306143e-07
10	9	8.50827086205576e-07
12	0	6.638321222043505e-07
12	1	7.351239522298177e-07
12	2	8.566706788306141e-07
12	3	7.783665376551012e-07
12	4	8.765388937557447e-07
12	5	1.5298525492350261e-06
12	6	9.256250718060663e-07
12	7	8.087532193053002e-07
12	8	1.0530153910319003e-06
12	9	8.730327381807215e-07
14	0	7.199306114047179e-07
14	1	9.59517909031288e-07
14	2	1.1570313397575824e-06
14	3	8.496583676805684e-07
14	4	8.461522121055453e-07
14	5	8.040783452052695e-07
14	6	1.5999756607354856e-06
14	7	9.396496941061578e-07
14	8	9.034194198309204e-07
14	9	8.297901527554381e-07
